"group_type","squadron_number","group_number","subgroup","total","add","add_new","add_maintenance","add_other_units","lost","lost_enemy","lost_accident","lost_maintenance","lost_other_units","total_eom","date"
"Aufklärungsgruppe",1,10,"","9","0","0","0","0","0","0","0","0","0","9",1942-03-15
"Aufklärungsgruppe",1,10,"","9","0","0","0","0","0","0","0","0","0","9",1942-04-15
"Aufklärungsgruppe",1,10,"","9","1","1","0","0","2","2","0","0","0","8",1942-05-15
"Aufklärungsgruppe",1,10,"","0","1","0","0","1","0","0","0","0","0","1",1942-05-15
"Aufklärungsgruppe",1,10,"","8","1","1","0","0","0","0","0","0","0","9",1942-06-15
"Aufklärungsgruppe",1,10,"","1","0","0","0","0","1","0","0","0","1","0",1942-06-15
"Aufklärungsgruppe",1,10,"","9","0","0","0","0","0","0","0","0","0","9",1942-07-15
"Aufklärungsgruppe",1,10,"","4","1","0","1","0","3","0","3","0","0","2",1942-08-15
"Aufklärungsgruppe",1,10,"","2","0","0","0","0","0","0","0","0","0","2",1942-08-15
"Aufklärungsgruppe",1,10,"","3","0","0","0","0","1","0","1","0","0","2",1942-08-15
"Aufklärungsgruppe",1,10,"","2","1","1","0","0","1","0","0","1","0","2",1942-09-15
"Aufklärungsgruppe",1,10,"","2","0","0","0","0","1","1","0","0","0","1",1942-09-15
"Aufklärungsgruppe",1,10,"","2","1","1","0","0","1","0","0","1","0","2",1942-09-15
"Aufklärungsgruppe",1,10,"","2","1","0","0","1","1","0","0","1","0","2",1942-10-15
"Aufklärungsgruppe",1,10,"","1","1","1","0","0","0","0","0","0","0","2",1942-10-15
"Aufklärungsgruppe",1,10,"","2","0","0","0","0","0","0","0","0","0","2",1942-10-15
